Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee),Record Date,Total (CCY)
Market buy,2024-04-25 13:30:03,US00123Q1040,AGNC,"AGNC Investment",,EOF000000000000024,2.2694400000,9.3100000000,USD,1.06871453,,"EUR",19.80,"EUR",,,,,,,,,,,,,0.03,"EUR",,
Market buy,2024-04-25 13:30:05,US85571B1052,STWD,"Starwood Property Trust",,EOF000000000000025,1.0936070000,19.3200000000,USD,1.06871457,,"EUR",19.80,"EUR",,,,,,,,,,,,,0.03,"EUR",,
Market buy,2024-04-25 13:30:05,US26884U1097,EPR,"EPR Properties",,EOF000000000000026,0.5132310000,41.1600000000,USD,1.06851734,,"EUR",19.80,"EUR",,,,,,,,,,,,,0.03,"EUR",,
Currency conversion,2024-05-04 11:32:29,,,,"10000.00 CZK -> 398.08 EUR",XRM58LDVFXHU0AVW,,,,,,,-0.60,"EUR",,,,,,,,,10000.00,"CZK",398.08,"EUR",-0.60,"EUR",,
Market sell,2024-05-07 15:10:22,US0389231087,ABR,"Arbor Realty Trust",,EOF000000000000027,0.0802000000,13.4600000000,USD,1.07949200,0.03,"EUR",1.00,"EUR",,,,,,,,,,,,,,,,
Market sell,2024-05-07 15:10:27,US5246601075,LEG,"Leggett & Platt",,EOF000000000000028,1.1553250000,13.3200000000,USD,1.07841128,-5.50,"EUR",14.25,"EUR",,,,,,,,,,,,,0.02,"EUR",,
Currency conversion,2024-05-07 16:34:29,,,,"3000.00 CZK -> 103.02 GBP",B9EISNYBDAFAW9C2,,,,,,,-0.15,"GBP",,,,,,,,,3000.00,"CZK",103.02,"GBP",-0.15,"GBP",,
Dividend (Dividend),2024-05-09 11:00:19,US00123Q1040,AGNC,"AGNC Investment",,,2.2694400000,0.102000,USD,0.95039425,,,0.22,"EUR",0.04,USD,,,,,,,,,,,,,,
Lending interest,2024-05-15 01:13:03,,,,"Share lending interest",00000000-0000-0000-0000-000000000008,,,,,,,0.01,"EUR",,,,,,,,,,,,,,,,
Dividend (Dividend),2024-05-15 11:54:22,US26884U1097,EPR,"EPR Properties",,,0.5132310000,0.242250,USD,0.88474072,,,0.11,"EUR",0.02,USD,,,,,,,,,,,,,,
