VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,02/09/2018 01:41:36 PM,02/09/2018 01:44:30 PM,1,0.43,1,N,24,166,1,4,0,0.5,1.44,0,0.3,6.24
2,02/09/2018 01:53:00 PM,02/09/2018 02:17:46 PM,1,3.64,1,N,151,162,1,18,0,0.5,3.76,0,0.3,22.56
2,02/09/2018 01:07:24 PM,02/09/2018 01:10:44 PM,5,0.51,1,N,237,141,1,4.5,0,0.5,1.59,0,0.3,6.89
2,02/09/2018 01:14:38 PM,02/09/2018 01:46:38 PM,5,7.07,1,N,141,255,1,27.5,0,0.5,8.49,0,0.3,36.79
2,02/09/2018 01:08:45 PM,02/09/2018 01:13:08 PM,1,0.75,1,N,246,68,1,5,0,0.5,0.7,0,0.3,6.5
2,02/09/2018 01:18:19 PM,02/09/2018 01:56:19 PM,1,10.36,1,N,50,138,1,35.5,0,0.5,8.41,5.76,0.3,50.47
1,02/09/2018 01:09:16 PM,02/09/2018 01:54:39 PM,1,11.9,1,N,163,138,1,41,0,0.5,4.76,5.76,0.3,52.32
2,02/09/2018 01:35:11 PM,02/09/2018 01:47:13 PM,1,0.77,1,N,162,230,1,9,0,0.5,1.96,0,0.3,11.76
2,02/09/2018 01:48:45 PM,02/09/2018 02:05:56 PM,1,1.62,1,N,230,141,1,12,0,0.5,2.56,0,0.3,15.36
1,02/09/2018 01:03:58 PM,02/09/2018 01:17:52 PM,3,0.9,1,N,100,264,2,9.5,0,0.5,0,0,0.3,10.3
1,02/09/2018 01:32:20 PM,02/09/2018 01:42:03 PM,1,1.1,1,N,264,264,1,8,0,0.5,2.2,0,0.3,11
1,02/09/2018 01:49:45 PM,02/09/2018 02:05:47 PM,1,3.1,1,N,264,264,1,13.5,0,0.5,3.55,0,0.3,17.85
1,02/09/2018 01:09:37 PM,02/09/2018 01:29:51 PM,1,2.2,1,N,239,236,1,14,0,0.5,2.95,0,0.3,17.75
