"legal_name","doing_business_as_name","license_description","application_type","license_status","zip_code","city","state","application_created_date","license_start_date","expiration_date"
"EDWARD ERNEST TUNGATE","EDWARD ERNEST TUNEGATE","Peddler License","ISSUE","AAI","60647","CHICAGO","IL","2026-05-29T00:00:00.000","2026-05-29T00:00:00.000","2028-06-15T00:00:00.000"
"CONSOR ACQUISITIONS LLC","STUART HALE COMPANY","Wholesale Food Establishment","RENEW","AAI","60624","CHICAGO","IL",,"2026-06-16T00:00:00.000","2028-06-15T00:00:00.000"
"CHRISTINE SADDY-KIZZIAH","CHRISTINE SADDY-KIZZIAH","Pharmaceutical Representative","RENEW","AAI","60640","CHICAGO","IL",,"2026-04-16T00:00:00.000","2027-04-15T00:00:00.000"
"KOBAMONT LLC","KOBAMONT LLC","Special Event Liquor","ISSUE","AAI","60616","CHICAGO","IL","2026-05-27T00:00:00.000","2026-05-29T00:00:00.000","2026-06-14T00:00:00.000"
"FLYING SQUIRREL INDUSTRIES LLC","SLIPPERY SLOPE","Public Place of Amusement","RENEW","AAI","60647","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60612","CHICAGO","IL",,"2020-06-16T00:00:00.000","2022-06-15T00:00:00.000"
"PAID CORPORATION","SAMMY'S TOUCH","Retail Food Establishment","RENEW","AAI","60619","CHICAGO","IL",,"2026-06-16T00:00:00.000","2028-06-15T00:00:00.000"
"JMRC INC.","JMRC INC","Special Event Liquor","ISSUE","AAI","60608","CHICAGO","IL","2026-05-28T00:00:00.000","2026-05-29T00:00:00.000","2026-05-31T00:00:00.000"
"FR WASH INC.","STONY HAND CARWASH","Limited Business License","ISSUE","AAI","60649","CHICAGO","IL","2026-05-14T00:00:00.000","2026-05-29T00:00:00.000","2028-06-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60613","CHICAGO","IL",,"2026-06-16T00:00:00.000","2028-06-15T00:00:00.000"
"TRIANGU LLC","TRIANGU LLC","Limited Business License","ISSUE","AAI","60606","CHICAGO","IL","2026-05-28T00:00:00.000","2026-05-29T00:00:00.000","2028-06-15T00:00:00.000"
"THIRD RAIL TAVERN, INC.","THIRD RAIL TAVERN","Retail Food Establishment","RENEW","AAI","60607","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"GUSTOFRIO 2, LLC","LINDA MICHOACANA #2","Retail Food Establishment","ISSUE","AAI","60622","CHICAGO","IL","2026-05-21T00:00:00.000","2026-05-29T00:00:00.000","2028-06-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60612","CHICAGO","IL",,"2020-06-16T00:00:00.000","2022-06-15T00:00:00.000"
"LAKE SHORE COMMISSARY, INC.","LAKE SHORE COMMISSARY","Package Goods","RENEW","AAI","60613","CHICAGO","IL",,"2026-06-16T00:00:00.000","2028-06-15T00:00:00.000"
"I AM SOFT POWER LLC","WOMAN TO WOMAN","Regulated Business License","ISSUE","AAI","60654","CHICAGO","IL","2026-05-29T00:00:00.000","2026-05-29T00:00:00.000","2028-06-15T00:00:00.000"
"FLEXPORT, INC.","FLEXPORT, INC.","Limited Business License","RENEW","AAI","60607","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"CREATIVE RESTAURANTS LLC","Lawn","Consumption on Premises - Incidental Activity","RENEW","AAI","60622","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"ELIUT PATRACA","DENNIS' B&K","Retail Food Establishment","RENEW","AAI","60623","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60612","CHICAGO","IL",,"2020-06-16T00:00:00.000","2022-06-15T00:00:00.000"
"CREATIVE RESTAURANTS LLC","Lawn","Retail Food Establishment","RENEW","AAI","60622","CHICAGO","IL",,"2026-07-16T00:00:00.000","2028-07-15T00:00:00.000"
"SCARLETT'S G.P., INC.","Deja Vu Showgirls","Public Place of Amusement","RENEW","AAI","60607","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"HELLMUTH, OBATA & KASSABAUM, INC.","HELLMUTH, OBATA & KASSABAUM, INC.","Limited Business License","C_LOC","AAI","60601","CHICAGO","IL","2026-05-28T00:00:00.000","2026-05-29T00:00:00.000","2028-04-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60612","CHICAGO","IL",,"2020-06-16T00:00:00.000","2022-06-15T00:00:00.000"
"RED TOP PARKING, INC.","RED TOP PARKING INC","Commercial Garage","RENEW","AAI","60613","CHICAGO","IL",,"2026-06-16T00:00:00.000","2028-06-15T00:00:00.000"
"CALABASHCONFECTIONS IL LLC","SWEET CRUNCH TANGHULU","Special Event Food","ISSUE","AAI","11354","FLUSHING","NY","2026-05-21T00:00:00.000","2026-05-29T00:00:00.000","2026-11-25T00:00:00.000"
"AVADA, INC.","SUPER SAVINGS FOOD","Tobacco","RENEW","AAI","60641","CHICAGO","IL",,"2026-07-16T00:00:00.000","2027-07-15T00:00:00.000"
"CYBOR FIRE PROTECTION COMPANY","CYBOR FIRE PROTECTION COMPANY","Limited Business License","RENEW","AAI","60515","DOWNERS GROVE","IL",,"2023-07-16T00:00:00.000","2025-07-15T00:00:00.000"
"ALOAREPA LLC","ALOAREPA","Shared Kitchen User (Long Term)","RENEW","AAC","60618","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"JENNIFER KRONE","JENNIFER KRONE","Pharmaceutical Representative","RENEW","AAC","60585","PLAINFIELD","IL",,"2025-05-16T00:00:00.000","2026-05-15T00:00:00.000"
"CHICAGO VINTAGE WEDDINGS LTD.","Chicago Vintage Weddings","Limited Business License","RENEW","AAC","60608","CHICAGO","IL",,"2026-01-16T00:00:00.000","2028-01-15T00:00:00.000"
"BLACK & VEATCH CORPORATION","BLACK & VEATCH CORPORATION","Limited Business License","RENEW","AAC","60606","CHICAGO","IL",,"2025-04-16T00:00:00.000","2027-04-15T00:00:00.000"
"RAVEN ZBIKOWSKI","LA BONNE FEE","Limited Business License","ISSUE","AAC","60614","CHICAGO","IL","2026-04-15T00:00:00.000","2026-04-16T00:00:00.000","2028-05-15T00:00:00.000"
"RICARDO SEPEDA","Calaveras Barber Shop & SMP","Limited Business License","RENEW","AAC","60647","CHICAGO","IL",,"2026-04-16T00:00:00.000","2028-04-15T00:00:00.000"
"VIRIDIANA LUCAS","VIRIDIANA LUCAS","Pop-Up Retail User","ISSUE","AAC","60609","CHICAGO","IL","2026-04-01T00:00:00.000","2026-04-03T00:00:00.000","2027-04-15T00:00:00.000"
"VICTORIA'S SECRET STORES, LLC","VICTORIA'S SECRET STORES, LLC #282","Limited Business License","RENEW","AAC","60652","CHICAGO","IL",,"2025-02-16T00:00:00.000","2027-02-15T00:00:00.000"
"CHINA EASTERN AIRLINES CORPORATION LIMITED","CHINA EASTERN AIRLINES","Limited Business License","RENEW","AAC","60611","CHICAGO","IL",,"2026-04-16T00:00:00.000","2028-04-15T00:00:00.000"
"NORTH RIVER COMMISSION","NORTH RIVER COMMISSION","Regulated Business License","RENEW","AAC","60625","CHICAGO","IL",,"2026-03-16T00:00:00.000","2028-03-15T00:00:00.000"
"BBSC #3 LLC","BROWN BAG SEAFOOD CO.","Outdoor Patio","RENEW","AAC","60654","CHICAGO","IL",,"2026-04-16T00:00:00.000","2028-04-15T00:00:00.000"
"Andersonville Antiques LLC","Andersonville Antiques","Limited Business License","RENEW","AAC","60640","CHICAGO","IL",,"2024-11-16T00:00:00.000","2026-11-15T00:00:00.000"
"MERCHANDISE MART PROPERTIES, INC.","WORKLIFE WELLBEING","Regulated Business License","RENEW","AAC","60654","CHICAGO","IL",,"2026-05-16T00:00:00.000","2028-05-15T00:00:00.000"
"URBAN GARDEN SUPPLY LLC","URBAN GARDEN SUPPLY LLC","Limited Business License","ISSUE","AAC","60616","CHICAGO","IL","2026-03-13T00:00:00.000","2026-03-13T00:00:00.000","2028-03-15T00:00:00.000"
"THE CHICO CONSULTING GROUP LLC","Chico Consulting Group","Regulated Business License","RENEW","AAC","60615","CHICAGO","IL",,"2022-09-16T00:00:00.000","2024-09-15T00:00:00.000"
"GIBSONS L.L.C.","GIBSONS STEAK HOUSE","Tobacco","RENEW","AAC","60611","CHICAGO","IL",,"2026-03-16T00:00:00.000","2027-03-15T00:00:00.000"
"WALMART INC.","WALMART #5402","Tobacco","RENEW","AAC","60639","CHICAGO","IL",,"2026-01-16T00:00:00.000","2027-01-15T00:00:00.000"
"PANDA EXPRESS, INC.","PANDA EXPRESS #1149","Retail Food Establishment","RENEW","AAC","60601","CHICAGO","IL",,"2026-03-16T00:00:00.000","2028-03-15T00:00:00.000"
"SHING D YEH","WASH OUT INN","Limited Business License","RENEW","AAC","60660","CHICAGO","IL",,"2025-08-16T00:00:00.000","2027-08-15T00:00:00.000"
"UB2 LLC","URBANBELLY","Retail Food Establishment","RENEW","AAC","60622","CHICAGO","IL",,"2026-04-16T00:00:00.000","2028-04-15T00:00:00.000"
"UB2 LLC","URBANBELLY","Consumption on Premises - Incidental Activity","RENEW","AAC","60622","CHICAGO","IL",,"2026-04-16T00:00:00.000","2028-04-15T00:00:00.000"
"ONNI GRAND LIMITED PARTNERSHIP","LEVEL HOTELS & FURNISHED SUITES","Regulated Business License","RENEW","AAC","60654","CHICAGO","IL",,"2026-04-16T00:00:00.000","2028-04-15T00:00:00.000"
"CREDENCE RESOURCE MANAGEMENT, LLC","CREDENCE RESOURCE MANAGEMENT, LLC","Regulated Business License","RENEW","AAC","75287","DALLAS","TX",,"2026-03-16T00:00:00.000","2028-03-15T00:00:00.000"
"MICHIGAN FAMILY FOOD MART INC.","NORTH FOOD MART","Retail Food Establishment","ISSUE","AAC","60639","CHICAGO","IL","2026-01-08T00:00:00.000","2026-02-18T00:00:00.000","2028-03-15T00:00:00.000"
"SE CLUSTER ONE LLC","JIFFY LUBE","Motor Vehicle Services License","RENEW","AAC","60618","CHICAGO","IL",,"2024-12-16T00:00:00.000","2026-12-15T00:00:00.000"
"FRAMA-TECH LLC","COLLINS SUPPLY","Limited Business License","RENEW","AAC","60631","CHICAGO","IL",,"2026-03-16T00:00:00.000","2028-03-15T00:00:00.000"
"SE CLUSTER ONE LLC","JIFFY LUBE","Motor Vehicle Services License","RENEW","AAC","60614","CHICAGO","IL",,"2024-12-16T00:00:00.000","2026-12-15T00:00:00.000"
"NESTOR V. REYES","AMERICA'S WATCHES/JEWELRY REPAIR","Limited Business License","RENEW","AAC","60603","CHICAGO","IL",,"2026-04-16T00:00:00.000","2028-04-15T00:00:00.000"
"IDALIA JARAMILLO-NAVARRETE","DJ MOBILE","Limited Business License","ISSUE","AAC","60632","CHICAGO","IL","2026-02-13T00:00:00.000","2026-02-17T00:00:00.000","2027-04-15T00:00:00.000"
"ROBERT CONGIUSTI","Lucky Devil Tattoo","Regulated Business License","RENEW","AAC","60626","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"WALGREENS.COM, INC.","WALGREENS #21622","Limited Business License","ISSUE","AAC","60609","CHICAGO","IL","2026-02-09T00:00:00.000","2026-02-10T00:00:00.000","2028-02-15T00:00:00.000"
"L.A NAIL CHICAGO LLC","L.A. NAILS","Limited Business License","RENEW","AAC","60639","CHICAGO","IL",,"2023-05-16T00:00:00.000","2025-05-15T00:00:00.000"
"O. SAAVEDRA, INC.","O. SAAVEDRA, INC.","Regulated Business License","RENEW","AAC","60625","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"DEMI MEDICAL LLC","DEMI AESTHETICS","Limited Business License","RENEW","AAC","60610","CHICAGO","IL",,"2025-11-16T00:00:00.000","2027-11-15T00:00:00.000"
"GC ROOFING, LLC","GC ROOFING, LLC","Regulated Business License","RENEW","AAC","60618","CHICAGO","IL",,"2026-03-16T00:00:00.000","2028-03-15T00:00:00.000"
"C CHICAGO CUTS INC.","ELEVATED BARBERSHOP LOUNGE","Limited Business License","RENEW","AAC","60608","CHICAGO","IL",,"2026-03-16T00:00:00.000","2028-03-15T00:00:00.000"
"YILIN LI","LAVENDER BEAUTY SALON","Limited Business License","ISSUE","AAC","60634","CHICAGO","IL","2026-02-02T00:00:00.000","2026-02-02T00:00:00.000","2028-04-15T00:00:00.000"
"MIKE ANTON","MR. D'S SNACK SHOP","Retail Food Establishment","RENEW","AAC","60707","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"Noodles & More, Inc","Noodles in the Pot","Retail Food Establishment","RENEW","AAC","60614","CHICAGO","IL",,"2025-11-16T00:00:00.000","2027-11-15T00:00:00.000"
"EARTHSEED CONSULTING LLC","EARTHSEED CONSULTING LLC","Regulated Business License","RENEW","AAC","60637","CHICAGO","IL",,"2025-03-16T00:00:00.000","2027-03-15T00:00:00.000"
"BABY DOLLS BOUTIQUE INC.","BABY DOLLS BOUTIQUE","Limited Business License","RENEW","AAC","60613","CHICAGO","IL",,"2026-01-16T00:00:00.000","2028-01-15T00:00:00.000"
"INTERNATIONAL SUPER MARKET, INC.","INTERNATIONAL SUPERMARKET INC.","Limited Business License","RENEW","AAC","60609","CHICAGO","IL",,"2026-01-16T00:00:00.000","2028-01-15T00:00:00.000"
"OPEN BOOKS LTD.","OPEN BOOKS LTD.","Limited Business License","RENEW","AAC","60647","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"LAXMI NARAYAN FOOD INC.","SUBWAY","Retail Food Establishment","RENEW","AAC","60634","CHICAGO","IL",,"2025-12-16T00:00:00.000","2027-12-15T00:00:00.000"
"MAMA'S SON INC.","LAXI LIQUOR","Tobacco","RENEW","AAC","60707","CHICAGO","IL",,"2026-03-16T00:00:00.000","2027-03-15T00:00:00.000"
"ATLAS ASSET MANAGEMENT SERVICES CORP","ATLAS ASSET MANAGEMENT SERVICES CORP","Limited Business License","RENEW","AAC","60629","CHICAGO","IL",,"2024-09-16T00:00:00.000","2026-09-15T00:00:00.000"
"LUMA, LLC","LOU MALNATI'S PIZZERIA","Retail Food Establishment","RENEW","AAC","60605","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"LUMA, LLC","LOU MALNATI'S PIZZERIA","Consumption on Premises - Incidental Activity","RENEW","AAC","60605","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"SEOUL PHARMACY, INC.","SEOUL PHARMACY","Limited Business License","RENEW","AAC","60625","CHICAGO","IL",,"2025-09-16T00:00:00.000","2027-09-15T00:00:00.000"
"YAVP INC.,","SHRADDHA WINE AND SPIRIT","Retail Food Establishment","RENEW","AAC","60626","CHICAGO","IL",,"2026-01-16T00:00:00.000","2028-01-15T00:00:00.000"
"G BEAUT8 LLC","Polish Muse","Limited Business License","ISSUE","AAC","60614","CHICAGO","IL","2026-01-08T00:00:00.000","2026-01-08T00:00:00.000","2028-01-15T00:00:00.000"
"YAVP INC.,","SHRADDHA WINE AND SPIRIT","Tobacco","RENEW","AAC","60626","CHICAGO","IL",,"2026-01-16T00:00:00.000","2027-01-15T00:00:00.000"
"CHICAGO TRAVEL CONSULTANTS, INC.","CTC Destination Management","Limited Business License","RENEW","AAC","60642","CHICAGO","IL",,"2025-04-16T00:00:00.000","2027-04-15T00:00:00.000"
"YAVP INC.,","SHRADDHA WINE AND SPIRIT","Package Goods","RENEW","AAC","60626","CHICAGO","IL",,"2026-01-16T00:00:00.000","2028-01-15T00:00:00.000"
"CUACO RESTAURANT & LOUNGE INC.","CUACO RESTAURANT","Retail Food Establishment","RENEW","AAC","60608","CHICAGO","IL",,"2025-12-16T00:00:00.000","2027-12-15T00:00:00.000"
"CUACO RESTAURANT & LOUNGE INC.","CUACO RESTAURANT","Consumption on Premises - Incidental Activity","RENEW","AAC","60608","CHICAGO","IL",,"2025-12-16T00:00:00.000","2027-12-15T00:00:00.000"
"SHEBUILD SOLUTIONS  LLC","SHEBUILD SOLUTIONS","Limited Business License","ISSUE","AAC","60607","CHICAGO","IL","2026-01-05T00:00:00.000","2026-01-06T00:00:00.000","2028-01-15T00:00:00.000"
"RAYMOND JAMES & ASSOCIATES INC","Cohen Financial Management of Raymond James","Limited Business License","RENEW","AAC","60601","CHICAGO","IL",,"2025-05-16T00:00:00.000","2027-05-15T00:00:00.000"
"IMAZAKI LLC","IMAZAKI  DOJO","Limited Business License","RENEW","AAC","60616","CHICAGO","IL",,"2026-01-16T00:00:00.000","2028-01-15T00:00:00.000"
"PWU DUMMY ACCOUNT FOR INTERNAL USE ONLY DO NOT USE","PWU DUMMY ACCOUNT","Retail Food Establishment","RENEW","AAC","60602","CHICAGO","IL",,"2025-06-16T00:00:00.000","2027-06-15T00:00:00.000"
"DTLR, INC.","DTLR","Limited Business License","RENEW","AAC","21076","HANOVER","MD",,"2025-11-16T00:00:00.000","2027-11-15T00:00:00.000"
"Plows Gift Shop LLC","Plows Gift Shop","Limited Business License","ISSUE","AAC","60620","CHICAGO","IL","2025-12-22T00:00:00.000","2025-12-23T00:00:00.000","2028-01-15T00:00:00.000"
"PLAMEN GROCERY LLC","2 P'S SMOKE SHOP","Tobacco","RENEW","AAC","60626","CHICAGO","IL",,"2025-12-16T00:00:00.000","2026-12-15T00:00:00.000"
"MIRATA SOFTWARE, LLC","MIRATA SOFTWARE, LLC","Limited Business License","RENEW","AAC","60606","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"DENISE A. IVANOVA","DIEZ RESALE","Secondhand Dealer","RENEW","AAC","60618","CHICAGO","IL",,"2026-01-16T00:00:00.000","2028-01-15T00:00:00.000"
"SUFFAH CORP.","B--P GAS STATION","Tobacco","RENEW","AAC","60638","CHICAGO","IL",,"2026-01-16T00:00:00.000","2027-01-15T00:00:00.000"
"STELLAR PERFORMANCE MANUFACTURING, L.L.C.","STELLAR PERFORMANCE MANUFACTURING, L.L.C.","Limited Business License","RENEW","AAC","60610","CHICAGO","IL",,"2026-02-16T00:00:00.000","2028-02-15T00:00:00.000"
"LE LE CHAIRS AND THINGS RENTAL LLC","LE LE CHAIRS AND THINGS RENTAL LLC","Limited Business License","RENEW","AAC","60649","CHICAGO","IL",,"2025-07-16T00:00:00.000","2027-07-15T00:00:00.000"
"SUFFAH CORP.","B--P GAS STATION","Filling Station","RENEW","AAC","60638","CHICAGO","IL",,"2026-01-16T00:00:00.000","2028-01-15T00:00:00.000"
